HS8,Description,Base,Category,HS4,HS6,Cat,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015,HS1996
1051200,- - PAVOS (GALLIPAVOS),8.0,B,'0105,'010512,B,6.66666666667,5.33333333333,4.0,2.66666666667,1.33333333333,0.0,0.0,0.0,0.0,'010512
1051900,- - LOS DEMÁS,8.0,B,'0105,'010519,B,6.66666666667,5.33333333333,4.0,2.66666666667,1.33333333333,0.0,0.0,0.0,0.0,'010519
1059210,- - - REPRODUCTORES AVÍCOLAS,0.0,G,'0105,'010592,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010592
1059290,- - - LOS DEMÁS,8.0,A,'0105,'010592,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010592
1059310,- - - REPRODUCTORES AVÍCOLAS,0.0,G,'0105,'010593,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010593
1059390,- - - LOS DEMÁS,8.0,A,'0105,'010593,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010593
1059910,- - - REPRODUCTORES AVÍCOLAS,0.0,G,'0105,'010599,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010599
1059990,- - - LOS DEMÁS,8.0,A,'0105,'010599,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010599
1061100,- - PRIMATES,8.0,A,'0106,'010611,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1061200,- - BALLENAS; DELFINES Y MARSOPAS (MAMÍFEROS DEL ORDEN DE LOS CETÁCEOS);,8.0,A,'0106,'010612,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1061900,- - LOS DEMÁS,8.0,A,'0106,'010619,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1062000,- REPTILES (INCLUIDAS SERPIENTES Y TORTUGAS),8.0,A,'0106,'010620,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1063100,- - AVES DE PRESA,8.0,A,'0106,'010631,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1063200,- - PSITTACIFORMES (INCLUIDOS LOROS; PERIQUITOS; GUACAMAYOS Y CACATÚAS),8.0,A,'0106,'010632,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1063900,- -LOS DEMÁS,8.0,A,'0106,'010639,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1069011,- - ABEJAS Y DEMÁS INSECTOS,0.0,G,'0106,'010690,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
1069090,- - LOS DEMÁS,8.0,A,'0106,'010690,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'010600
2011000,- EN CANALES O MEDIAS CANALES,40.0,D,'0201,'020110,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020110
2012010,CORTES FINOS Y SELECTOS DE CARNE DE RES FRESCO O REFRIGERADO SIN DESHUESAR/2,40.0,See paragraph 3 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0201,'020120,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020120
2012090,LOS DEMÁS CORTES (TROZOS) DE RES FRESCOS O REFRIGERADOS SIN DESHUESAR,40.0,D,'0201,'020120,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020120
2013010,CORTES FINOS Y SELECTOS DE CARNE DE RES FRESCO O REFRIGERADO DESHUESADOS/2,40.0,See paragraph 3 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0201,'020130,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020130
2013090,LOS DEMÁS CORTES (TROZOS) DE RES FRES COS O REFRIGERADOS DESHUESADOS,40.0,D,'0201,'020130,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020130
2021000,EN CANALES O MEDIAS CANALES CONGELADAS,40.0,D,'0202,'020210,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020210
2022010,CORTES FINOS Y SELECTOS DE CARNE DE RES CONGELADO SIN DESHUESAR/2,40.0,See paragraph 3 of Appendix I to the General Notes,'0202,'020220,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020220
2022090,LOS DEMAS CORTES SIN DESHUESAR CONGELADA,40.0,D,'0202,'020220,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020220
2023010,CARNE DE RES EN TROZOS IRREGULARES DESHUESADA (“TRIMMING”),25.0,See paragraph 4 of Appendix I to the General Notes,'0202,'020230,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020230
2023020,CARNE DE RES: LOS DEMÁS CORTES (TROZOS) DESHUESADA CONGELADA,25.0,D,'0202,'020230,D,23.4375,21.875,20.3125,18.75,17.1875,15.625,14.0625,12.5,10.9375,'020230
2023090,CARNE DE RES: LAS DEMÁS,20.0,D,'0202,'020230,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020230
2031100,EN CANALES O MEDIAS CANALESFRESCA O REFRIGERADA,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020311,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020311
2031200,CARNE DE CERDO: PIERNAS; PALETAS Y SUS TROZOS; SIN DESHUESAR (FRESCA O REFRIGERADA),25.0,See paragraph 5 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0203,'020312,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020312
2031900,- - LAS DEMÁS,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020319,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020319
2032100,EN CANALES O MEDIAS CANALES CONGELADOS,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020321,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020321
2032200,CARNE DE CERDO: PIERNAS; PALETAS Y SUS TROZOS; SIN DESHUESAR (CONGELADA) CORTES FINOS,25.0,See paragraph 5 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0203,'020322,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020322
2032910,CARNE DE CERDO: EN TROZOS IRREGULARES (“TRIMMING”),25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020329,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020329
2032990,CARNE DE CERDO: LAS DEMÁS,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020329,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020329
2041000,- CANALES O MEDIAS CANALES DE CORDERO; FRESCAS O REFRIGERADAS,20.0,C,'0204,'020410,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020410
2042100,- - EN CANALES O MEDIAS CANALES,20.0,C,'0204,'020421,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020421
2042200,- - LOS DEMÁS CORTES (TROZOS) SIN DESHUESAR,20.0,C,'0204,'020422,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020422
2042300,- - DESHUESADAS,20.0,C,'0204,'020423,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020423
2043000,- CANALES O MEDIAS CANALES; DE CORDERO CONGELADAS,20.0,C,'0204,'020430,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020430
2044100,- - EN CANALES O MEDIAS CANALES,20.0,C,'0204,'020441,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020441
2044200,- - LOS DEMÁS CORTES (TROZOS) SIN DESHUESAR,20.0,C,'0204,'020442,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020442
2044300,- - DESHUESADAS,20.0,C,'0204,'020443,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020443
2045000,- CARNE DE ANIMALES DE LA ESPECIE CAPRINA,20.0,C,'0204,'020450,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020450
2050000,CARNE DE ANIMALES DE LAS ESPECIES CABALLAR; ASNAL O MULAR; FRESCA; REFRIGERADA O CONGELADA.,20.0,C,'0205,'020500,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020500
2061000,- DE LA ESPECIE BOVINA; FRESCOS O REFRIGERADOS,40.0,D,'0206,'020610,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020610
2062100,DESPOJOS DE RES; CERDO; Y OTROS:LENGUAS,40.0,D,'0206,'020621,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020621
2062200,DESPOJOS DE RES; CERDO; Y OTROS: HÍGADOS,40.0,D,'0206,'020622,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020622
2062900,DESPOJOS DE RES; CERDO; Y OTROS: LOS DEMÁS,40.0,D,'0206,'020629,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020629
2063000,- DE LA ESPECIE PORCINA; FRESCOS O REFRIGERADOS,40.0,D,'0206,'020630,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020630
2064100,- - HÍGADOS,40.0,D,'0206,'020641,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020641
2064900,DESPOJOS DE RES; CERDO; Y OTROS: LOS DEMÁS,40.0,D,'0206,'020649,D,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5,'020649
2068000,- LOS DEMÁS; FRESCOS O REFRIGERADOS,20.0,D,'0206,'020680,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020680
2069000,- LOS DEMÁS; CONGELADOS,20.0,D,'0206,'020690,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020690
2071100,SIN TROCEAR; FRESCOS O REFRIGERADOS (POLLO ENTERO),99.0,Y,'0207,'020711,Y,84.15,69.3,54.45,39.6,24.75,19.8,14.85,9.9,4.95,'020711
2071200,SIN TROCEAR; CONGELADOS (POLLO ENTERO),99.0,Y,'0207,'020712,Y,84.15,69.3,54.45,39.6,24.75,19.8,14.85,9.9,4.95,'020712
2071300,TROZOS Y DESPOJOS; FRESCOS O REFRIGERADOS (MDM),99.0,See paragraph 8 of Appendix I to the General Notes,'0207,'020713,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020713
2071410,PICADO O MOLIDOS CONGELADOS (MDM),20.0,See paragraph 8 of Appendix I to the General Notes,'0207,'020714,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020714
2071411,- - - CARNE DESHIDRATADA EN POLVO EN ENVASES DE 25 KG,3.0,A,'0207,'020714,A,0,0,0,0,0,0,0,0,0,'020714
2071491,AVES: PECHUGAS DE POLLO,25.0,B,'0207,'020714,B,20.8333333333,16.6666666667,12.5,8.33333333333,4.16666666667,0,0,0,0,'020714
2071492,AVES: MUSLOS DE POLLO,99.0,See paragraph 7 of Appendix I to the General Notes,'0207,'020714,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020714
2071493,ALAS DE POLLO,20.0,A,'0207,'020714,A,0,0,0,0,0,0,0,0,0,'020714
2071499,AVES: LOS DEMÁS,25.0,B,'0207,'020714,B,20.8333333333,16.6666666667,12.5,8.33333333333,4.16666666667,0,0,0,0,'020714
2072400,- - SIN TROCEAR; FRESCOS O REFRIGERADOS,20.0,W,'0207,'020724,W,16.0,12.0,8.0,4.0,0,0,0,0,0,'020724
2072500,- - SIN TROCEAR; CONGELADOS,20.0,W,'0207,'020725,W,16.0,12.0,8.0,4.0,0,0,0,0,0,'020725
2072610,PECHUGAS DE PAVO deshuesado,20.0,A,'0207,'020726,A,0,0,0,0,0,0,0,0,0,'020726
2072611,PECHUGAS DE PAVO Con hueso,20.0,C,'0207,'020726,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020726
2072612,AVES: MUSLOS DE PAVO,40.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020726,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020726
2072619,- - - - LOS DEMÁS,20.0,D,'0207,'020726,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020726
2072621,- - - - HÍGADOS,14.0,C,'0207,'020726,C,12.7272727273,11.4545454545,10.1818181818,8.90909090909,7.63636363636,6.36363636364,5.09090909091,3.81818181818,2.54545454545,'020726
2072629,- - - - LOS DEMÁS,20.0,D,'0207,'020726,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020726
2072710,- - -PICADOS O MOLIDOS,20.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020727,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020727
2072791,- - - - PECHUGAS,20.0,C,'0207,'020727,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020727
2072792,- - - - MUSLOS,40.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020727,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020727
2072793,AVES: PULPA DE PAVO,40.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020727,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020727
2072799,AVES: LAS DEMÁS PULPAS DE AVES,20.0,D,'0207,'020727,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020727
2073200,SIN TROCEAR; FRESCOS O REFRIGERADOS,20.0,D,'0207,'020732,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020732
2073300,- - SIN TROCEAR; CONGELADOS,20.0,D,'0207,'020733,D,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75,'020733
2073400,- - HÍGADOS GRASOS; FRESCOS O REFRIGERADOS,14.0,C,'0207,'020734,C,12.7272727273,11.4545454545,10.1818181818,8.90909090909,7.63636363636,6.36363636364,5.09090909091,3.81818181818,2.54545454545,'020734
2073500,- - LOS DEMÁS; FRESCOS O REFRIGERADOS,20.0,C,'0207,'020735,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020735
2073600,- - LOS DEMÁS; CONGELADOS,20.0,C,'0207,'020736,C,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636,'020736
2081000,- DE CONEJO OLIEBRE,20.0,A,'0208,'020810,A,0,0,0,0,0,0,0,0,0,'020810
2082000,- ANCAS (PATAS) DE RANA,20.0,A,'0208,'020820,A,0,0,0,0,0,0,0,0,0,'020820
2083000,- DE PRIMATES,20.0,A,'0208,'020830,A,0,0,0,0,0,0,0,0,0,'020890
2084000,- DE BALLENAS; DELFINES Y MARSOPAS (MAMÍFEROS DEL ORDEN DE LOS CETÁCEOS);DE MANATIES Y DUGONGS (MAMIFEROS DEL ORDEN DE LOS SIRENIOS),20.0,A,'0208,'020840,A,0,0,0,0,0,0,0,0,0,'020890
2085000,- DE REPTILES (INCLUIDAS SERPIENTES Y TORTUGAS),20.0,A,'0208,'020850,A,0,0,0,0,0,0,0,0,0,'020890
2089000,- LOS DEMÁS.,20.0,A,'0208,'020890,A,0,0,0,0,0,0,0,0,0,'020890
2090010,- TOCINO SIN PARTES MAGRAS,40.0,See paragraph 6 of Appendix I to the General Notes,'0209,'020900,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'020900
2090020,- GRASA DE CERDO SIN FUNDIR NI EXTRAER DE OTRO MODO,25.0,C,'0209,'020900,C,22.7272727273,20.4545454545,18.1818181818,15.9090909091,13.6363636364,11.3636363636,9.09090909091,6.81818181818,4.54545454545,'020900
2090090,- LAS DEMÁS,40.0,N,'0209,'020900,N,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077,'020900
2101100,- - JAMONES; PALETAS; Y SUS TROZOS; SIN DESHUESAR,40.0,N,'0210,'021011,N,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077,'021011
2101200,- - TOCINO ENTREVERADO DE PANZA (PANCETA) Y SUS TROZOS,40.0,See paragraph 6 of Appendix I to the General Notes,'0210,'021012,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,'021012
2101900,CARNE Y DESPOJOS DE LA ESPECIE PORCINA: LAS DEMÁS,40.0,N,'0210,'021019,N,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077,'021019
2102000,CARNE Y DESPOJO DE LA ESPECIE BOVINA,40.0,N,'0210,'021020,N,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077,'021020
2109100,- - DE PRIMATES,8.0,A,'0210,'021091,A,0,0,0,0,0,0,0,0,0,'021090
2109200,- - DE BALLENAS; DELFINES Y MARSOPAS (MAMÍFEROS DEL ORDEN DE LOS CETÁCEOS);DE MANATÍES Y DUGONGS (MAMÍFEROS DEL ORDEN DE LOS SIRENIOS),20.0,A,'0210,'021092,A,0,0,0,0,0,0,0,0,0,'021090
2109300,- - DE REPTILES (INCLUIDAS SERPIENTES Y TORTUGAS),20.0,A,'0210,'021093,A,0,0,0,0,0,0,0,0,0,'021090
2109900,- - LOS DEMÁS.,20.0,A,'0210,'021099,A,0,0,0,0,0,0,0,0,0,'021090
3011000,- PECES ORNAMENTALES,20.0,A,'0301,'030110,A,0,0,0,0,0,0,0,0,0,'030110
3019110,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030191,G,0,0,0,0,0,0,0,0,0,'030191
3019190,- - - LOS DEMÁS,20.0,A,'0301,'030191,A,0,0,0,0,0,0,0,0,0,'030191
3019210,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030192,G,0,0,0,0,0,0,0,0,0,'030192
3019290,- - - LAS DEMÁS,20.0,A,'0301,'030192,A,0,0,0,0,0,0,0,0,0,'030192
3019310,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030193,G,0,0,0,0,0,0,0,0,0,'030193
3019390,- - - LAS DEMÁS,20.0,A,'0301,'030193,A,0,0,0,0,0,0,0,0,0,'030193
3019910,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030199,G,0,0,0,0,0,0,0,0,0,'030199
3019990,- - - LOS DEMÁS,20.0,A,'0301,'030199,A,0,0,0,0,0,0,0,0,0,'030199
3021100,- -TRUCHAS (SALMO TRUTTA; ONCORHYNCHUS MYKISS; ONCORH YNCHUS CLARKI; ONCORHYNCHUS AGUABONITA; ONCORHYNCH US GILAE; ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYS OGASTER ). - -SALMONES DEL PACIFICO (ONCORHYNCHUS NERKA; ONCORHY NCHUS,20.0,A,'0302,'030211,A,0,0,0,0,0,0,0,0,0,'030211
3021200,GORBUSCHA;ONCORHYNCHUS KETA; ONCORHYNCHUS TS CHAWYTSCHA; ONCORHYNCHUS; KISUTCH; ONCORHYNCHUS MA SOU; ONCORHYNCHUS RHODURUS);SALMONES DEL ATLANTICO (SALMO SALAR) Y SALMONES DEL DANUBIO (HUCHO HUCH,20.0,A,'0302,'030212,A,0,0,0,0,0,0,0,0,0,'030212
3021900,- -LOS DEMAS.,20.0,A,'0302,'030219,A,0,0,0,0,0,0,0,0,0,'030219
3022100,--HALIBUT (FLETAN) (REINHARDTIUS HIPPOGLOSSOIDES; HI PPOGLOSSUS HIPPOGLOSSUS; HIPPOGLOSSUS STENOLEPIS),20.0,A,'0302,'030221,A,0,0,0,0,0,0,0,0,0,'030221
3022200,- -SOLLAS (PLEURONECTES PLATESSA),20.0,A,'0302,'030222,A,0,0,0,0,0,0,0,0,0,'030222
3022300,--LENGUADOS (SOLEA SPP.),20.0,A,'0302,'030223,A,0,0,0,0,0,0,0,0,0,'030223
3022900,--LOS DEMAS.,20.0,A,'0302,'030229,A,0,0,0,0,0,0,0,0,0,'030229
3023100,--ALBACORAS O ATUNES BLANCOS (THUNNUS ALALUNGA,20.0,A,'0302,'030231,A,0,0,0,0,0,0,0,0,0,'030231
3023200,--ATUNES DE ALETA AMARILLA (RABILES) (THUNNUS ALBACA RES,20.0,A,'0302,'030232,A,0,0,0,0,0,0,0,0,0,'030232
3023300,--LISTADOS O BONITOS DE VIENTRE RAYADO,20.0,A,'0302,'030233,A,0,0,0,0,0,0,0,0,0,'030233
3023400,- - PATUDOS (THUNNUS OBESUS),20.0,A,'0302,'030234,A,0,0,0,0,0,0,0,0,0,'030239
3023500,- - ATUNES ROJOS (THUNNUS THYNNUS),20.0,A,'0302,'030235,A,0,0,0,0,0,0,0,0,0,'030239
3023600,- - ATUNES DEL SUR (THUNNUS MACCOYII).,20.0,A,'0302,'030236,A,0,0,0,0,0,0,0,0,0,'030239
3023900,--LOS DEMAS,20.0,A,'0302,'030239,A,0,0,0,0,0,0,0,0,0,'030239
3024000,-ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII); EXCEP TO LOS HIGADOS; HUEVAS Y LECHAS,20.0,A,'0302,'030240,A,0,0,0,0,0,0,0,0,0,'030240
3025000,-BACALAOS (GADUS MORHUA; GADUS OGAC; GADUS MACROCEP HALUS); EXCEPTO LOS HIGADOS; HUEVAS Y LECHAS LOS D EMASPESCADOS; EXCEPTO LOS HIGADOS;HUEVAS Y LECHAS.,20.0,A,'0302,'030250,A,0,0,0,0,0,0,0,0,0,'030250
3026100,--SARDINAS (SARDINA PILCHARDUS; SARDINOPS SPP.); SAR DINELAS (SARDINELLA SPP.) Y ESPADINES ( SPRATTUS SPRATTUS ),20.0,A,'0302,'030261,A,0,0,0,0,0,0,0,0,0,'030261
3026200,--EGLEFINOS (MELANOGRAMMUS AEGLEFINUS),20.0,A,'0302,'030262,A,0,0,0,0,0,0,0,0,0,'030262
3026300,--CARBONEROS (POLLACHIUS VIRENS),20.0,A,'0302,'030263,A,0,0,0,0,0,0,0,0,0,'030263
3026400,--CABALLAS (SCOMBER SCOMBRUS; SCOMBER AUSTRALASICUS; SCOMBER JAPONICUS),20.0,A,'0302,'030264,A,0,0,0,0,0,0,0,0,0,'030264
3026500,--ESCUALOS,20.0,A,'0302,'030265,A,0,0,0,0,0,0,0,0,0,'030265
3026600,--ANGUILAS (ANGUILLA SPP.),20.0,A,'0302,'030266,A,0,0,0,0,0,0,0,0,0,'030266
3026900,--LOS DEMAS,20.0,A,'0302,'030269,A,0,0,0,0,0,0,0,0,0,'030269
3027000,-HIGADOS; HUEVAS Y LECHAS,20.0,A,'0302,'030270,A,0,0,0,0,0,0,0,0,0,'030270
3031100,- - SALMÓN ROJO (ONCORHYNCHUS NERKA),20.0,B,'0303,'030311,B,16.6666666667,13.3333333333,10.0,6.66666666667,3.33333333333,0,0,0,0,'030310
3031900,- - LOS DEMÁS,20.0,A,'0303,'030319,A,0,0,0,0,0,0,0,0,0,'030310
3032100,- - TRUCHAS (SALMO TRUTTA; ONCORHYNCHUS MYKISS; ONCORHYNCHUS CLARKI; ONCORHYNCHUSAGUABONITA; ONCORHYNCHUS GILAE; ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYSOGASTER),20.0,B,'0303,'030321,B,16.6666666667,13.3333333333,10.0,6.66666666667,3.33333333333,0,0,0,0,'030321
3032200,- - SALMONES DEL ATLÁNTICO (SALMO SALAR) Y SALMONES DEL DANUBIO (HUCHO HUCHO),20.0,A,'0303,'030322,A,0,0,0,0,0,0,0,0,0,'030322
3032900,- - LOS DEMÁS,20.0,A,'0303,'030329,A,0,0,0,0,0,0,0,0,0,'030329
3033100,- - HALIBUT (FLETÁN) (REINHARDTIUS HIPPOGLOSSOIDES; HIPPOGLOSSUS HIPPOGLOSSUS; HIPPOGLOSSUS STENOLEPIS),20.0,A,'0303,'030331,A,0,0,0,0,0,0,0,0,0,'030331
3033200,- - SOLLAS (PLEURONECTES PLATESSA),20.0,A,'0303,'030332,A,0,0,0,0,0,0,0,0,0,'030332
