HS8,Description,Base,Category,HS4,HS6,Cat
2013010,CORTES FINOS Y SELECTOS DE CARNE DE RES FRESCO O REFRIGERADO DESHUESADOS/2,40.0,See paragraph 3 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0201,'020130,SP
2013090,LOS DEMÁS CORTES (TROZOS) DE RES FRES COS O REFRIGERADOS DESHUESADOS,40.0,D,'0201,'020130,D
2021000,EN CANALES O MEDIAS CANALES CONGELADAS,40.0,D,'0202,'020210,D
2022010,CORTES FINOS Y SELECTOS DE CARNE DE RES CONGELADO SIN DESHUESAR/2,40.0,See paragraph 3 of Appendix I to the General Notes,'0202,'020220,SP
2022090,LOS DEMAS CORTES SIN DESHUESAR CONGELADA,40.0,D,'0202,'020220,D
2023010,CARNE DE RES EN TROZOS IRREGULARES DESHUESADA (“TRIMMING”),25.0,See paragraph 4 of Appendix I to the General Notes,'0202,'020230,SP
2023020,CARNE DE RES: LOS DEMÁS CORTES (TROZOS) DESHUESADA CONGELADA,25.0,D,'0202,'020230,D
2023090,CARNE DE RES: LAS DEMÁS,20.0,D,'0202,'020230,D
2031100,EN CANALES O MEDIAS CANALESFRESCA O REFRIGERADA,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020311,SP
2031200,CARNE DE CERDO: PIERNAS; PALETAS Y SUS TROZOS; SIN DESHUESAR (FRESCA O REFRIGERADA),25.0,See paragraph 5 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0203,'020312,SP
2031900,- - LAS DEMÁS,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020319,SP
2032100,EN CANALES O MEDIAS CANALES CONGELADOS,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020321,SP
2032200,CARNE DE CERDO: PIERNAS; PALETAS Y SUS TROZOS; SIN DESHUESAR (CONGELADA) CORTES FINOS,25.0,See paragraph 5 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0203,'020322,SP
2032910,CARNE DE CERDO: EN TROZOS IRREGULARES (“TRIMMING”),25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020329,SP
2032990,CARNE DE CERDO: LAS DEMÁS,25.0,See paragraph 5 of Appendix I to the General Notes,'0203,'020329,SP
2041000,- CANALES O MEDIAS CANALES DE CORDERO; FRESCAS O REFRIGERADAS,20.0,C,'0204,'020410,C
2042100,- - EN CANALES O MEDIAS CANALES,20.0,C,'0204,'020421,C
2042200,- - LOS DEMÁS CORTES (TROZOS) SIN DESHUESAR,20.0,C,'0204,'020422,C
2042300,- - DESHUESADAS,20.0,C,'0204,'020423,C
2043000,- CANALES O MEDIAS CANALES; DE CORDERO CONGELADAS,20.0,C,'0204,'020430,C
2044100,- - EN CANALES O MEDIAS CANALES,20.0,C,'0204,'020441,C
2044200,- - LOS DEMÁS CORTES (TROZOS) SIN DESHUESAR,20.0,C,'0204,'020442,C
2044300,- - DESHUESADAS,20.0,C,'0204,'020443,C
2045000,- CARNE DE ANIMALES DE LA ESPECIE CAPRINA,20.0,C,'0204,'020450,C
2050000,CARNE DE ANIMALES DE LAS ESPECIES CABALLAR; ASNAL O MULAR; FRESCA; REFRIGERADA O CONGELADA.,20.0,C,'0205,'020500,C
2061000,- DE LA ESPECIE BOVINA; FRESCOS O REFRIGERADOS,40.0,D,'0206,'020610,D
2062100,DESPOJOS DE RES; CERDO; Y OTROS:LENGUAS,40.0,D,'0206,'020621,D
2062200,DESPOJOS DE RES; CERDO; Y OTROS: HÍGADOS,40.0,D,'0206,'020622,D
2062900,DESPOJOS DE RES; CERDO; Y OTROS: LOS DEMÁS,40.0,D,'0206,'020629,D
2063000,- DE LA ESPECIE PORCINA; FRESCOS O REFRIGERADOS,40.0,D,'0206,'020630,D
2064100,- - HÍGADOS,40.0,D,'0206,'020641,D
2064900,DESPOJOS DE RES; CERDO; Y OTROS: LOS DEMÁS,40.0,D,'0206,'020649,D
2068000,- LOS DEMÁS; FRESCOS O REFRIGERADOS,20.0,D,'0206,'020680,D
2069000,- LOS DEMÁS; CONGELADOS,20.0,D,'0206,'020690,D
2071100,SIN TROCEAR; FRESCOS O REFRIGERADOS (POLLO ENTERO),99.0,Y,'0207,'020711,Y
2071200,SIN TROCEAR; CONGELADOS (POLLO ENTERO),99.0,Y,'0207,'020712,Y
2071300,TROZOS Y DESPOJOS; FRESCOS O REFRIGERADOS (MDM),99.0,See paragraph 8 of Appendix I to the General Notes,'0207,'020713,SP
2071410,PICADO O MOLIDOS CONGELADOS (MDM),20.0,See paragraph 8 of Appendix I to the General Notes,'0207,'020714,SP
2071411,- - - CARNE DESHIDRATADA EN POLVO EN ENVASES DE 25 KG,3.0,A,'0207,'020714,A
2071491,AVES: PECHUGAS DE POLLO,25.0,B,'0207,'020714,B
2071492,AVES: MUSLOS DE POLLO,99.0,See paragraph 7 of Appendix I to the General Notes,'0207,'020714,SP
2071493,ALAS DE POLLO,20.0,A,'0207,'020714,A
2071499,AVES: LOS DEMÁS,25.0,B,'0207,'020714,B
2072400,- - SIN TROCEAR; FRESCOS O REFRIGERADOS,20.0,W,'0207,'020724,W
2072500,- - SIN TROCEAR; CONGELADOS,20.0,W,'0207,'020725,W
2072610,PECHUGAS DE PAVO deshuesado,20.0,A,'0207,'020726,A
2072611,PECHUGAS DE PAVO Con hueso,20.0,C,'0207,'020726,C
2072612,AVES: MUSLOS DE PAVO,40.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020726,SP
2072619,- - - - LOS DEMÁS,20.0,D,'0207,'020726,D
2072621,- - - - HÍGADOS,14.0,C,'0207,'020726,C
2072629,- - - - LOS DEMÁS,20.0,D,'0207,'020726,D
2072710,- - -PICADOS O MOLIDOS,20.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020727,SP
2072791,- - - - PECHUGAS,20.0,C,'0207,'020727,C
2072792,- - - - MUSLOS,40.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020727,SP
2072793,AVES: PULPA DE PAVO,40.0,See paragraph 9 of Appendix I to the General Notes,'0207,'020727,SP
2072799,AVES: LAS DEMÁS PULPAS DE AVES,20.0,D,'0207,'020727,D
2073200,SIN TROCEAR; FRESCOS O REFRIGERADOS,20.0,D,'0207,'020732,D
2073300,- - SIN TROCEAR; CONGELADOS,20.0,D,'0207,'020733,D
2073400,- - HÍGADOS GRASOS; FRESCOS O REFRIGERADOS,14.0,C,'0207,'020734,C
2073500,- - LOS DEMÁS; FRESCOS O REFRIGERADOS,20.0,C,'0207,'020735,C
2073600,- - LOS DEMÁS; CONGELADOS,20.0,C,'0207,'020736,C
2081000,- DE CONEJO OLIEBRE,20.0,A,'0208,'020810,A
2082000,- ANCAS (PATAS) DE RANA,20.0,A,'0208,'020820,A
2083000,- DE PRIMATES,20.0,A,'0208,'020830,A
2084000,- DE BALLENAS; DELFINES Y MARSOPAS (MAMÍFEROS DEL ORDEN DE LOS CETÁCEOS);DE MANATIES Y DUGONGS (MAMIFEROS DEL ORDEN DE LOS SIRENIOS),20.0,A,'0208,'020840,A
2085000,- DE REPTILES (INCLUIDAS SERPIENTES Y TORTUGAS),20.0,A,'0208,'020850,A
2089000,- LOS DEMÁS.,20.0,A,'0208,'020890,A
2090010,- TOCINO SIN PARTES MAGRAS,40.0,See paragraph 6 of Appendix I to the General Notes,'0209,'020900,SP
2090020,- GRASA DE CERDO SIN FUNDIR NI EXTRAER DE OTRO MODO,25.0,C,'0209,'020900,C
2090090,- LAS DEMÁS,40.0,N,'0209,'020900,N
2101100,- - JAMONES; PALETAS; Y SUS TROZOS; SIN DESHUESAR,40.0,N,'0210,'021011,N
2101200,- - TOCINO ENTREVERADO DE PANZA (PANCETA) Y SUS TROZOS,40.0,See paragraph 6 of Appendix I to the General Notes,'0210,'021012,SP
2101900,CARNE Y DESPOJOS DE LA ESPECIE PORCINA: LAS DEMÁS,40.0,N,'0210,'021019,N
2102000,CARNE Y DESPOJO DE LA ESPECIE BOVINA,40.0,N,'0210,'021020,N
2109100,- - DE PRIMATES,8.0,A,'0210,'021091,A
2109200,- - DE BALLENAS; DELFINES Y MARSOPAS (MAMÍFEROS DEL ORDEN DE LOS CETÁCEOS);DE MANATÍES Y DUGONGS (MAMÍFEROS DEL ORDEN DE LOS SIRENIOS),20.0,A,'0210,'021092,A
2109300,- - DE REPTILES (INCLUIDAS SERPIENTES Y TORTUGAS),20.0,A,'0210,'021093,A
2109900,- - LOS DEMÁS.,20.0,A,'0210,'021099,A
3011000,- PECES ORNAMENTALES,20.0,A,'0301,'030110,A
3019110,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030191,G
3019190,- - - LOS DEMÁS,20.0,A,'0301,'030191,A
3019210,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030192,G
3019290,- - - LAS DEMÁS,20.0,A,'0301,'030192,A
3019310,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030193,G
3019390,- - - LAS DEMÁS,20.0,A,'0301,'030193,A
3019910,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0301,'030199,G
3019990,- - - LOS DEMÁS,20.0,A,'0301,'030199,A
3021100,- -TRUCHAS (SALMO TRUTTA; ONCORHYNCHUS MYKISS; ONCORH YNCHUS CLARKI; ONCORHYNCHUS AGUABONITA; ONCORHYNCH US GILAE; ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYS OGASTER ). - -SALMONES DEL PACIFICO (ONCORHYNCHUS NERKA; ONCORHY NCHUS,20.0,A,'0302,'030211,A
3021200,GORBUSCHA;ONCORHYNCHUS KETA; ONCORHYNCHUS TS CHAWYTSCHA; ONCORHYNCHUS; KISUTCH; ONCORHYNCHUS MA SOU; ONCORHYNCHUS RHODURUS);SALMONES DEL ATLANTICO (SALMO SALAR) Y SALMONES DEL DANUBIO (HUCHO HUCH,20.0,A,'0302,'030212,A
3021900,- -LOS DEMAS.,20.0,A,'0302,'030219,A
3022100,--HALIBUT (FLETAN) (REINHARDTIUS HIPPOGLOSSOIDES; HI PPOGLOSSUS HIPPOGLOSSUS; HIPPOGLOSSUS STENOLEPIS),20.0,A,'0302,'030221,A
3022200,- -SOLLAS (PLEURONECTES PLATESSA),20.0,A,'0302,'030222,A
3022300,--LENGUADOS (SOLEA SPP.),20.0,A,'0302,'030223,A
3022900,--LOS DEMAS.,20.0,A,'0302,'030229,A
3023100,--ALBACORAS O ATUNES BLANCOS (THUNNUS ALALUNGA,20.0,A,'0302,'030231,A
3023200,--ATUNES DE ALETA AMARILLA (RABILES) (THUNNUS ALBACA RES,20.0,A,'0302,'030232,A
3023300,--LISTADOS O BONITOS DE VIENTRE RAYADO,20.0,A,'0302,'030233,A
3023400,- - PATUDOS (THUNNUS OBESUS),20.0,A,'0302,'030234,A
3023500,- - ATUNES ROJOS (THUNNUS THYNNUS),20.0,A,'0302,'030235,A
3023600,- - ATUNES DEL SUR (THUNNUS MACCOYII).,20.0,A,'0302,'030236,A
3023900,--LOS DEMAS,20.0,A,'0302,'030239,A
3024000,-ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII); EXCEP TO LOS HIGADOS; HUEVAS Y LECHAS,20.0,A,'0302,'030240,A
3025000,-BACALAOS (GADUS MORHUA; GADUS OGAC; GADUS MACROCEP HALUS); EXCEPTO LOS HIGADOS; HUEVAS Y LECHAS LOS D EMASPESCADOS; EXCEPTO LOS HIGADOS;HUEVAS Y LECHAS.,20.0,A,'0302,'030250,A
3026100,--SARDINAS (SARDINA PILCHARDUS; SARDINOPS SPP.); SAR DINELAS (SARDINELLA SPP.) Y ESPADINES ( SPRATTUS SPRATTUS ),20.0,A,'0302,'030261,A
3026200,--EGLEFINOS (MELANOGRAMMUS AEGLEFINUS),20.0,A,'0302,'030262,A
3026300,--CARBONEROS (POLLACHIUS VIRENS),20.0,A,'0302,'030263,A
3026400,--CABALLAS (SCOMBER SCOMBRUS; SCOMBER AUSTRALASICUS; SCOMBER JAPONICUS),20.0,A,'0302,'030264,A
3026500,--ESCUALOS,20.0,A,'0302,'030265,A
3026600,--ANGUILAS (ANGUILLA SPP.),20.0,A,'0302,'030266,A
3026900,--LOS DEMAS,20.0,A,'0302,'030269,A
3027000,-HIGADOS; HUEVAS Y LECHAS,20.0,A,'0302,'030270,A
3031100,- - SALMÓN ROJO (ONCORHYNCHUS NERKA),20.0,B,'0303,'030311,B
3031900,- - LOS DEMÁS,20.0,A,'0303,'030319,A
3032100,- - TRUCHAS (SALMO TRUTTA; ONCORHYNCHUS MYKISS; ONCORHYNCHUS CLARKI; ONCORHYNCHUSAGUABONITA; ONCORHYNCHUS GILAE; ONCORHYNCHUS APACHE Y ONCORHYNCHUS CHRYSOGASTER),20.0,B,'0303,'030321,B
3032200,- - SALMONES DEL ATLÁNTICO (SALMO SALAR) Y SALMONES DEL DANUBIO (HUCHO HUCHO),20.0,A,'0303,'030322,A
3032900,- - LOS DEMÁS,20.0,A,'0303,'030329,A
3033100,- - HALIBUT (FLETÁN) (REINHARDTIUS HIPPOGLOSSOIDES; HIPPOGLOSSUS HIPPOGLOSSUS; HIPPOGLOSSUS STENOLEPIS),20.0,A,'0303,'030331,A
3033200,- - SOLLAS (PLEURONECTES PLATESSA),20.0,A,'0303,'030332,A
3033300,- - LENGUADOS (SOLEA SPP.),20.0,B,'0303,'030333,B
3033900,- - LOS DEMÁS,20.0,A,'0303,'030339,A
3034100,- - ALBACORAS O ATUNES BLANCOS (THUNNUS ALALUNGA,3.0,A,'0303,'030341,A
3034200,- - ATUNES DE ALETA AMARILLA (RABILES) (THUNNUS ALBACARES,3.0,A,'0303,'030342,A
3034300,- - LISTADOS O BONITOS DE VIENTRE RAYADO,3.0,A,'0303,'030343,A
3034400,- - PATUDOS (THUNNUS OBESUS),20.0,A,'0303,'030344,A
3034500,- - ATUNES ROJOS (THUNNUS THYNNUS),20.0,A,'0303,'030345,A
3034600,- - ATUNES DEL SUR (THUNNUS MACCOYII).,20.0,A,'0303,'030346,A
3034900,--LOS DEMAS,3.0,A,'0303,'030349,A
3035000,-ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII); EXCEP TO LOS HIGADOS; HUEVAS Y LECHAS,3.0,A,'0303,'030350,A
3036000,-BACALAOS (GADUS MORHUA; GADUS OGAC; GADUS MACROCEP HALUS); EXCEPTO LOS HIGADOS; HUEVAS Y LECHAS LOS D EMASPESCADOS; EXCEPTO LOS HIGADOS; HUEVAS Y LECHAS,3.0,A,'0303,'030360,A
3037100,--SARDINAS (SARDINA PILCHARDUS; SARDINOPS SPP.); SAR DINELAS (SARDINELLA SPP.) Y ESPADINES ( SPRATTUS S PRATTUS ),3.0,A,'0303,'030371,A
3037200,--EGLEFINOS (MELANOGRAMMUS AEGLEFINUS),20.0,A,'0303,'030372,A
3037300,--CARBONEROS (POLLACHIUS VIRENS),20.0,A,'0303,'030373,A
3037400,--CABALLAS (SCOMBER SCOMBRUS; SCOMBER AUSTRALASICUS; SCOMBER JAPONICUS),20.0,A,'0303,'030374,A
3037500,--ESCUALOS,20.0,A,'0303,'030375,A
3037600,--ANGUILAS (ANGUILLA SPP.),20.0,A,'0303,'030376,A
3037700,--ROBALOS (DICENTRARCHUS LABRAX; DICENTRARCHUS PUNCT ATUS ),20.0,A,'0303,'030377,A
3037800,--MERLUZAS (MERLUCCIUS SPP.; UROPHYCIS SPP.),3.0,A,'0303,'030378,A
3037900,--LOS DEMAS,20.0,A,'0303,'030379,A
3038000,-HIGADOS; HUEVAS Y LECHAS,20.0,A,'0303,'030380,A
3041010,- - ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII),20.0,A,'0304,'030410,A
3041020,- - BACALAOS (GADUS MORHUA; GADUS OGAC; GADUS MACROCEPHALUS,20.0,A,'0304,'030410,A
3041030,- - ALETAS DE TIBURÓN,20.0,A,'0304,'030410,A
3041090,- - LOS DEMÁS,20.0,A,'0304,'030410,A
3042010,- - DE ARENQUE (CLUPEA HARENGUS; CLUPEAPALLASII),20.0,A,'0304,'030420,A
3042020,- - DE BACALAO (GADUS MORHUA; GADUS OGAC; GADUS MACROCEPHALUS,20.0,A,'0304,'030420,A
3042090,- - LOS DEMÁS,20.0,A,'0304,'030420,A
3049010,- - ALETAS DE TIBURÓN,20.0,A,'0304,'030490,A
3049090,- - LAS DEMÁS,20.0,A,'0304,'030490,A
3051000,- HARINA; POLVO Y PELLETS DE PESCADO; APTOS PARA LA ALIMENTACION HUMANA,14.0,B,'0305,'030510,B
3052000,- HIGADOS; HUEVAS Y LECHAS; DE PESCADO; SECOS; AHUMA DOS; SALADOS O EN SALMUERA,14.0,A,'0305,'030520,A
3053010,- -DE BACALAO (GADUS MORHUA; GADUS OGAC; GADUS MACROC EPHALUS,20.0,A,'0305,'030530,A
3053020,- -DE ARENQUE (CLUPEA HARENGUS; CLUPEA PALLASII),20.0,A,'0305,'030530,A
3053090,- -LOS DEMAS - -SALMONES DEL PACIFICO (ONCORHYNCHUS NERKA; ONCORHY NCHUS,20.0,A,'0305,'030530,A
3054100,GORBUSCHA;ONCORHYNCHUS KETA; ONCORHYNCHUS TS CHAWYTSCHA; ONCORHYNCHUS KISUTCH; ONCORHYNCHUS MAS OU; ONCORHYNCHUS RHODURUS);SALMONES DEL ATLANTICO (SALMO SALAR) Y SALMONES DEL DANUBIO (HUCHO HUC,20.0,A,'0305,'030541,A
3054200,- -ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII),0.0,G,'0305,'030542,G
3054900,- - LOS DEMAS,20.0,A,'0305,'030549,A
3055100,- - BACALAOS (GADUS MORHUA; GADUS OGAC; GADUS MACROCEP HALUS,0.0,G,'0305,'030551,G
3055910,- - - ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII),8.0,A,'0305,'030559,A
3055990,- - - LOS DEMAS,20.0,A,'0305,'030559,A
3056100,- -ARENQUES (CLUPEA HARENGUS; CLUPEA PALLASII),8.0,A,'0305,'030561,A
3056200,- -BACALAOS (GADUS MORHUA; GADUS OGAC; GADUS MACROCEP HALUS,0.0,G,'0305,'030562,G
3056300,- -ANCHOAS (ENGRAULIS SPP.),20.0,A,'0305,'030563,A
3056900,--LOS DEMAS,20.0,A,'0305,'030569,A
3061100,- - LANGOSTAS (PALINURUS SPP.; PANULIRUS SPP.; JASUS SPP.),20.0,B,'0306,'030611,B
3061200,- - BOGAVANTES (HOMARUS SPP.),20.0,A,'0306,'030612,A
3061310,- - - LANGOSTINOS (PENAEUS SPP.),20.0,M,'0306,'030613,M
3061390,- - - LOS DEMÁS,20.0,M,'0306,'030613,M
3061400,- - CANGREJOS (EXCEPTO MACRUROS),20.0,C,'0306,'030614,C
3061910,- - - CAMARONES DE RÍO (ASTACUS SPP; CAMBARUS),20.0,M,'0306,'030619,M
3061990,- - - LOS DEMÁS,20.0,C,'0306,'030619,C
3062110,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0306,'030621,G
3062190,- - - LAS DEMÁS,20.0,B,'0306,'030621,B
3062210,--PARA REPRODUCCION O CRIA INDUSTRIAL,0.0,G,'0306,'030622,G
3062290,- - - LOS DEMÁS,20.0,B,'0306,'030622,B
3062310,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0306,'030623,G
3062391,- - - - LANGOSTINOS (PENAEUS SPP.),20.0,B,'0306,'030623,B
3062399,- - - - LOS DEMÁS,20.0,B,'0306,'030623,B
3062410,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0306,'030624,G
3062490,- - - LOS DEMÁS,20.0,B,'0306,'030624,B
3062910,- - - PARA REPRODUCCIÓN O CRÍA INDUSTRIAL,0.0,G,'0306,'030629,G
3062920,- - - HARINA; POLVO Y «PELLETS»,8.0,A,'0306,'030629,A
3062991,- - - - CAMARONES DE RÍO (ASTACUS SPP; CAMBARUS),20.0,A,'0306,'030629,A
3062999,- - - - LOS DEMÁS,20.0,B,'0306,'030629,B
3071010,- - VIVAS; FRESCAS O REFRIGERADAS,20.0,B,'0307,'030710,B
3071020,- - LAS DEMÁS,20.0,B,'0307,'030710,B
3072100,- - VIVOS; FRESCOS O REFRIGERADOS,20.0,A,'0307,'030721,A
3072900,- - LOS DEMÁS,20.0,B,'0307,'030729,B
3073100,- - VIVOS; FRESCOS O REFRIGERADOS,20.0,B,'0307,'030731,B
3073900,- - LOS DEMÁS,20.0,C,'0307,'030739,C
3074100,- - VIVOS; FRESCOS O REFRIGERADOS,20.0,B,'0307,'030741,B
3074900,- - LOS DEMÁS,20.0,B,'0307,'030749,B
3075100,- - VIVOS; FRESCOS O REFRIGERADOS,20.0,B,'0307,'030751,B
3075900,- - LOS DEMÁS,20.0,B,'0307,'030759,B
3076000,- CARACOLES; EXCEPTO LOS DE MAR,20.0,A,'0307,'030760,A
3079100,- - VIVOS; FRESCOS O REFRIGERADOS,20.0,A,'0307,'030791,A
3079900,- - LOS DEMÁS,8.0,A,'0307,'030799,A
4011000,LECHE LIQUIDA: CON UN CONTENIDO DE MATERIAS GRASAS INFERIOR O IGUAL AL 1%; EN PESO,20.0,See paragraph 10 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0401,'040110,SP
4012000,- CON UN CONTENIDO DE MATERIAS GRASAS SUPERIOR AL 1% PERO INFERIOR O IGUAL AL 6%; EN PESO,20.0,See paragraph 10 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0401,'040120,SP
4013000,- CON UN CONTENIDO DE MATERIAS GRASAS SUPERIOR AL 6%; EN PESO,20.0,See paragraph 10 of Appendix I to the General,'0401,'040130,SP
4021000,LECHE Y NATA: ACONDICIONADOS PARA LA VENTA AL POR MENOR EN ENVASES INMEDIATOS DE CONTENIDO NETO INFERIOR O IGUAL A 2;5 KG,56.0,See paragraph 11 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0402,'040210,SP
4021090,LECHE Y NATA: LAS DEMÁS,56.0,See paragraph 11 of Appendix I to the General,'0402,'040210,SP
4022110,LECHE Y NATA: ACONDICIONADOS PARA LA VENTA AL POR MENOR EN ENVASES INMEDIATOSDE CONTENIDO NETO INFERIOR O IGUAL A 2;5 KG,56.0,See paragraph 11 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0402,'040221,SP
4022190,- - - LAS DEMÁS,56.0,See paragraph 11 of Appendix I to the General,'0402,'040221,SP
4022910,- - - ACONDICIONADOS PARA LA VENTA AL POR MENOR EN ENVASES INMEDIATOS DE CONTENIDO NETO INFERIOR O IGUAL A 2;5 KG,56.0,See paragraph 11 of Appendix I to the General Notes of the Dominican Republic to Annex 3.3,'0402,'040229,SP
4022990,- - - LAS DEMÁS,56.0,See paragraph 11 of Appendix I to the General,'0402,'040229,SP
4029100,- - SIN ADICIÓN DE AZÚCAR NI OTRO EDULCORANTE,20.0,D,'0402,'040291,D
4029900,- - LAS DEMÁS,20.0,C,'0402,'040299,C
4031000,SUERO DE MANTEQUILLA: YOGURT,20.0,See paragraph 17 of Appendix I to the General,'0403,'040310,SP
4039000,SUERO DE MATEQUILLA; LECHE Y NATA: LOS DEMAS,20.0,A,'0403,'040390,A
4041000,L A C T O S U E R O; AUNQUE ESTE MODIFICADO; INCLUSO CONCENTRADO O CON ADICION DE AZUCAR U OTRO EDULCORANTE,3.0,A,'0404,'040410,A
4049000,LACTOSUERO & OTROS: LOS DEMAS,14.0,A,'0404,'040490,A
4051000,MANTEQUILLA (MANTECA) DEMAS PARTES DE GRASAS DE LECHES,20.0,See paragraph 12 of Appendix I to the General,'0405,'040510,SP
4052000,- PASTAS LÁCTEAS PARA UNTAR,20.0,C,'0405,'040520,C
4059010,MANTEQUILLA (MANTECA) DESHIDRATADA; Y «GHEE»BUTTEROIL,20.0,A,'0405,'040590,A
4059090,- - LAS DEMÁS,14.0,A,'0405,'040590,A
4061010,QUESO MOZZARELLA,20.0,See paragraph 13 of Appendix I to the General,'0406,'040610,SP
4061090,QUESO FRESCO (SIN MADURAR); INCLUIDO EL DEL LACTOSUERO; Y REQUESÓN,20.0,See paragraph 15 of Appendix I to the General,'0406,'040610,SP
4062000,QUESO & REQUESON:DE CUALQUIER TIPO; RALLADO O EN POLVO,20.0,See paragraph 15 of Appendix I to the General,'0406,'040620,SP
4063000,QUESO FUNDIDO; EXCEPTO EL RALLADO O EN POLVO,20.0,See paragraph 15 of Appendix I to the General,'0406,'040630,SP
4064000,- QUESO DE PASTA AZUL,20.0,See paragraph 15 of Appendix I to the General,'0406,'040640,SP
4069010,QUESO DE PASTA BLANDA,20.0,See paragraph 15 of Appendix I to the General,'0406,'040690,SP
4069020,QUESO CHEDDAR,20.0,See paragraph 14 of Appendix I to the General,'0406,'040690,SP
